Team,EventKey,Award
2526, 2016mndu, Regional Chairmans Award
2526, 2015tes, Championship Subdivision Winner
2655, 2016ncbui, District Event Winner
2655, 2009ga, Regional Winner
2655, 2016ncash, District Chairmans Award
2655, 2016ncash, District Event Winner
2655, 2015scmb, Entrepreneurship
2655, 2015scmb, Regional Engineering Inspiration
2655, 2013scmb, Regional Engineering Inspiration?
2655, 2013ncre, Regional Finalist
2655, 2013ncre, Entrepreneurship
2655, 2013ncre, Deans List Finalist
2655, 2016nccmp, Imagery
2655, 2016ncmcl, District Finalist
2655, 2016ncmcl, Entrepreneurship
2655, 2015ohcl, Entrepreneurship
2655, 2015ohcl, Woodie Flowers Finalist
2655, 2012nc, Entrepreneurship
2655, 2012nc, Website Award
2655, 2012nc, Deans List Finalist
2655, 2010ga, Judges Award
2655, 2011ga, Website Award
2655, 2011nc, Regional Chairmans Award
2655, 2011nc, Website Award
2655, 2012ga, Gracious Professionalism
2655, 2012ga, Website Award
2655, 2014inwl, Regional Chairmans Award
225, 2006nj, Innovation in Controls
225, 2015cars, Championship Subdivision Finalist
225, 2014dcwa, Regional Winner
225, 2014dcwa, Creativity
225, 2004md, Gracious Professionalism
225, 2013njlen, Innovation in Controls
225, 2015paphi, District Event Winner
225, 2015paphi, Delphi Excellence in Engineering
225, 2002pa, Judges Award
225, 2016paphi, District Event Winner
225, 2016paphi, Gracious Professionalism
225, 2014paphi, Winner
225, 2014paphi, Entrepreneurship
225, 2016mrcmp, District Championship Winner
225, 2016mrcmp, GM Industrial Design
225, 2016mrcmp, Deans List Finalist
225, 2014njtab, Entrepreneurship
225, 2015mrcmp, District Championship Winner
225, 2015mrcmp, Quality
225, 2015mrcmp, Deans List Finalist
225, 2016pawch, District Event Winner
225, 2016pawch, GM Industrial Design
225, 2014mrcmp, Quality
225, 2014mrcmp, Deans List Finalist
225, 2013paphi, District Winner
225, 2013paphi, Creativity
225, 2015padre, District Event Winner
225, 2015padre, Delphi Excellence in Engineering
225, 2013mrcmp, Creativity
225, 2006md, Autodesk Award
610, 2011wat, Quality
610, 2011wat, Regional Finalist
610, 2006on, Delphi Excellence in Engineering
610, 2015hiho, Regional Finalist
610, 2015hiho, Imagery
610, 2016onwa, Regional Winner
610, 2016onwa, Delphi Excellence in Engineering
610, 2014onnb, Regional Winner
610, 2014onnb, Delphi Excellence in Engineering
610, 2011on2, Quality
610, 2011on2, Regional Finalist
610, 2007on, Creativity
610, 2003on, Regional Chairmans Award
610, 2016onto, GM Industrial Design
610, 2006wat, Regional Finalist
610, 2007nh, Regional Engineering Inspiration
610, 2012on, GM Industrial Design
610, 2012on, Regional Finalist
610, 2012on, Woodie Flowers Finalist
610, 2013gal, Division Winner
610, 2009on, Regional Finalist
610, 2010wat, Quality
610, 2010roc, Regional Finalist
610, 2015onto2, Regional Winner
610, 2015onto2, Quality
610, 2014onto2, Regional Winner
610, 2014onto2, Quality
610, 2014onto2, Woodie Flowers Finalist
610, 2002cmp, Autodesk Award
610, 2013onwa, Quality
610, 2013onwa, Regional Finalist
610, 2009roc, Quality
610, 2013nhma, Regional Winner
610, 2013nhma, Delphi Excellence in Engineering
610, 2012az, Regional Winner
610, 2012az, GM Industrial Design
610, 2011gal, Division Finalist
610, 2013cmp, Championship Winner
610, 2002on, Regional Winner
610, 2002on, Regional Engineering Inspiration?
610, 2007wat, Delphi Excellence in Engineering
2403, 2014azch, Regional Winner
2403, 2014azch, Imagery
2403, 2014azch, Regional Engineering Inspiration?
2403, 2010az, Winner
2403, 2012az, Entrepreneurship
2403, 2013nvlv, Regional Finalist
2403, 2013nvlv, Regional Engineering Inspiration?
2403, 2011az, Team Spirit
2403, 2013azch, Innovation in Controls
2403, 2016azpx, Regional Chairmans Award
2403, 2015azpx, Regional Finalist
2403, 2015azpx, Entrepreneurship
2403, 2012ut, Regional Winner
868, 2005mi, Delphi Excellence in Engineering
868, 2006pit, Creativity
868, 2006pit, Autodesk Award
868, 2005in, Entrepreneurship
868, 2003mo, Entrepreneurship
868, 2014inth, Innovation in Controls
868, 2014new, Delphi Excellence in Engineering
868, 2009in, Regional Winner
868, 2009in, Innovation in Controls
868, 2011in, Delphi Excellence in Engineering
868, 2004gal, Division Winner
868, 2012in, Regional Engineering Inspiration?
868, 2006cmp, Creativity
868, 2007in, Creativity
868, 2004cmp, Championship Finalist
868, 2014ohci, GM Industrial Design
868, 2014ohci, Regional Finalist
868, 2015inind, Delphi Excellence in Engineering
868, 2013inth, Regional Winner
868, 2012wi, Creativity
868, 2016ohci, Regional Winner
868, 2016ohci, Innovation in Controls
868, 2016inwch, District Event Winner
868, 2016inwch, Quality
868, 2008in, Autodesk Award
868, 2015inwla, Innovation in Controls
868, 2013inwl, Regional Winner
868, 2013inwl, GM Industrial Design
868, 2016inwla, District Chairmans Award
868, 2003cmp, GM Industrial Design
868, 2010kc, Innovation in Controls
868, 2010kc, Website Award
868, 2016incmp, Regional Chairmans Award
868, 2016incmp, District Championship Finalist
868, 2009oh, Regional Finalist
868, 2010in, Winner
868, 2010in, Creativity
868, 2006in, GM Industrial Design
868, 2006in, Autodesk Award
868, 2005cmp, Rookie All-Star
868, 2003ga, GM Industrial Design
868, 2014inwl, Delphi Excellence in Engineering
868, 2014inwl, Deans List Finalist
1126, 2011roc, Judges Award
1126, 2011roc, Regional Finalist
1126, 2015nyrr, Team Spirit
1126, 2003oh, Regional Winner
1126, 2003oh, Judges Award
1126, 2007oh, GM Industrial Design
1126, 2007oh, Regional Finalist
1126, 2009on, Creativity
1126, 2014nytr, Regional Winner
1126, 2014nytr, Creativity
1126, 2006roc, Regional Winner
1126, 2006roc, Innovation in Controls
1126, 2008roc, Regional Finalist
1126, 2004oh, Regional Winner
1126, 2006gal, Division Winner
1126, 2011oh, Quality
1126, 2011oh, Regional Finalist
1126, 2010roc, Gracious Professionalism
1126, 2015papi, Creativity
1126, 2013nyro, Regional Finalist
1126, 2015nyro, Creativity
1126, 2015nyro, Volunteer of the Year
1126, 2008oh, Regional Winner
1126, 2008oh, Quality
1126, 2004new, Division Winner
1126, 2016paca, Regional Winner
1126, 2007roc, Innovation in Controls
1126, 2009roc, Gracious Professionalism
1126, 2005oh, Innovation in Controls
3688, 2016mitvc, District Event Winner
3688, 2016mitvc, Quality
3688, 2015mitvc, District Finalist
3688, 2015mitvc, Imagery
3688, 2013mitvc, Delphi Excellence in Engineering
3688, 2015misjo, Gracious Professionalism
3688, 2014mitvc, GM Industrial Design
3688, 2014mitvc, Regional Finalist
3688, 2014mihow, Innovation in Controls
3688, 2016misjo, District Finalist
3688, 2016misjo, Delphi Excellence in Engineering
3688, 2011gt, Highest Rookie Seed
3688, 2013misjo, GM Industrial Design
233, 2008fl, Regional Winner
233, 2008fl, Regional Engineering Inspiration
233, 1999fl, Rookie All-Star
233, 2012cmp, Championship Finalist
233, 2012cmp, Team Spirit
233, 2012ma, Regional Winner
233, 2012ma, Delphi Excellence in Engineering
233, 2013lake, Imagery
233, 2013flor, Regional Finalist
233, 2013flor, Woodie Flowers Finalist
233, 2008hi, Regional Winner
233, 2008hi, Innovation in Controls
233, 2003wa, Regional Winner
233, 2003wa, Quality
233, 2003wa, Imagery
233, 2016txho, Regional Chairmans Award
233, 2016txho, Regional Finalist
233, 2002arc, Division Winner
233, 2016flor, Regional Winner
233, 2016flor, Quality
233, 2011dc, Winner
233, 2011dc, GM Industrial Design
233, 2006cmp, Quality
233, 2011new, Division Finalist
233, 2000ne, Delphi Excellence in Engineering
233, 2008ein, GM Industrial Design
233, 2004ny, Regional Winner
233, 2004ny, Regional Woodie Flowers Award
233, 2004ny, Innovation in Controls
233, 2015ohci, Regional Winner
233, 2015ohci, GM Industrial Design
233, 2015ohci, Deans List Finalist
233, 2010ca, Imagery
233, 2010arc, Division Winner
233, 2014mdba, Delphi Excellence in Engineering
233, 2015carv, Championship Subdivision Finalist
233, 2005cmp, GM Industrial Design
233, 2009co, Entrepreneurship
233, 2015txsa, Regional Finalist
233, 2015txsa, Team Spirit
233, 2004fl, Regional Finalist
233, 2004fl, Imagery
233, 2002cmp, Innovation in Controls
233, 2013casj, Regional Engineering Inspiration?
233, 2015gape, Imagery
233, 2015gape, Woodie Flowers Finalist
233, 2007nv, Delphi Excellence in Engineering
233, 2001fl, Team Spirit
233, 1999cmp, Creativity
233, 2006arc, Division Finalist
233, 2009fl, Regional Winner
233, 2009fl, Regional Engineering Inspiration
233, 2000fl, Most Photogenic Award
233, 2001pa, GM Industrial Design
233, 2001pa, Regional Finalist
233, 2005co, Regional Chairmans Award
233, 2005co, Regional Winner
233, 2005co, Imagery
233, 2005co, Website
233, 2012fl, Regional Chairmans Award
233, 2012fl, Regional Winner
233, 2007cmp, Championship Finalist
233, 2003fl, GM Industrial Design
233, 2003fl, Regional Finalist
233, 2003fl, Imagery
233, 2016lake, Regional Winner
233, 2016lake, Creativity
233, 2006ma, Regional Winner
233, 2006ma, Innovation in Controls
233, 2006fl, Regional Chairmans Award
233, 2007arc, Division Winner
233, 2007fl, Team Spirit
233, 2008new, Division Winner
233, 2012cur, Division Winner
233, 2000cmp, Delphi Excellence in Engineering
233, 2000cmp, Autodesk Award
233, 2013cmp, Team Spirit
233, 2002on, Quality
233, 2002on, #1 Seed
233, 2002on, Incredible Play Award
233, 2011fl, Winner
233, 2011fl, GM Industrial Design
233, 2011fl, Deans List Finalist
746, 2014onto2, Judges Award
746, 2016onto, Regional Winner
5913, 2016mndu, Rookie All-Star
6098, 2016mimar, Highest Rookie Seed
6098, 2016mimar, Rookie Inspiration
6098, 2016mista, District Finalist
3824, 2015tes, Championship Subdivision Finalist
3824, 2015tnkn, Regional Winner
3824, 2015tnkn, Safety
3824, 2015tnkn, Delphi Excellence in Engineering
3824, 2012tn, Delphi Excellence in Engineering
3824, 2016scmb, Innovation in Controls
3824, 2013scmb, Regional Finalist
3824, 2013scmb, Delphi Excellence in Engineering
3824, 2011tn, Rookie All-Star
3824, 2011tn, Highest Rookie Seed
3824, 2014scmb, Regional Winner
3824, 2014scmb, GM Industrial Design
3824, 2013tnkn, Regional Winner
3824, 2013tnkn, Delphi Excellence in Engineering
3824, 2016tnkn, Regional Winner
3824, 2016tnkn, Delphi Excellence in Engineering
3824, 2014tnkn, GM Industrial Design
3824, 2014tnkn, Safety
3824, 2014tnkn, Woodie Flowers Finalist
3824, 2015scmb, Regional Winner
3824, 2015scmb, GM Industrial Design
3824, 2012ga, GM Industrial Design
1137, 2014vari, Deans List Finalist
1137, 2016chcmp, District Championship Finalist
1137, 2004va, Website Design Award
1137, 2016mdedg, GM Industrial Design
1137, 2016mdedg, District Finalist
1137, 2003va, Rookie All-Star
1137, 2005cmp, Autodesk Award
2771, 2009gg, Rookie All-Star
2771, 2009gg, Highest Rookie Seed Award
2771, 2009gg, Regional Finalist
2771, 2009gg, Team Spirit
2771, 2012mi, Regional Engineering Inspiration?
2771, 2012migl, Team Spirit
2771, 2010mi, Gracious Professionalism
2771, 2011gt, Team Spirit
2771, 2011swm, Gracious Professionalism
2771, 2011swm, Regional Finalist
2771, 2014micmp, Creativity
2771, 2015miesc, District Engineering Inspiration
2771, 2011mi, Gracious Professionalism
2771, 2015mihow, Team Spirit
2771, 2014milan, Entrepreneurship
2771, 2013mitvc, District Chairmans Award
2771, 2016miken, District Chairmans Award
2771, 2016miken, District Event Winner
2771, 2014migul, District Chairmans Award
2771, 2014miwmi, Regional Finalist
2771, 2014miwmi, Regional Engineering Inspiration?
2771, 2009gt, Rookie All-Star
2771, 2009mi, Rookie All-Star
2771, 2009gl, Rookie All-Star
2771, 2009gl, Team Spirit
2771, 2010gl, Team Spirit
2771, 2016inwch, Team Spirit
2771, 2009new, Newton - Highest Rookie Seed
2771, 2015miwmi, Quality
2771, 2012swm, Team Spirit
2771, 2016miann, District Event Winner
2771, 2016miann, Team Spirit
2771, 2013miliv, Imagery
4121, 2016ohcl, Regional Winner
4121, 2013ohcl, Regional Finalist
5879, 2016nytr, Rookie All-Star
5907, 2016miliv, District Event Winner
5907, 2016miliv, Rookie Inspiration
5907, 2016mibro, Rookie All-Star
1939, 2011kc, Regional Finalist
1939, 2011kc, Imagery
1939, 2014mokc, Imagery
1939, 2014mokc, Woodie Flowers Finalist
1939, 2012ok, Imagery
1939, 2016ohci, Regional Chairmans Award
1939, 2016mokc, Woodie Flowers Finalist
1939, 2016mokc, Regional Engineering Inspiration
1939, 2009kc, Team Spirit
1939, 2013mokc, Quality
1939, 2013mokc, Regional Finalist
1939, 2010ok, Coopertition Award
1939, 2010ok, Quality
1939, 2010ok, Regional Finalist
1939, 2015mokc, Imagery
1939, 2014arfa, Regional Chairmans Award
1939, 2014arfa, Deans List Finalist
1939, 2008kc, Regional Engineering Inspiration
1939, 2013arfa, Imagery
1939, 2013cttd, Imagery
1939, 2011mn2, Imagery
1939, 2006mo, Highest Rookie Seed Award
1939, 2006mo, Team Spirit
1533, 2006ga, Judges Award
1533, 2006ga, Website Award
1533, 2007ga, Judges Award
1533, 2007ga, Regional Finalist
1533, 2014vari, Team Spirit
1533, 2015ncre, Innovation in Controls
1533, 2009ga, Judges Award
1533, 2014ncre, Deans List Finalist
1533, 2013ohic, Team Spirit
1533, 2016ncash, Creativity
1533, 2015scmb, Regional Finalist
1533, 2013ncre, Deans List Finalist
1533, 2016nccmp, District Championship Winner
1533, 2016nccmp, Creativity
1533, 2016nccmp, Deans List Finalist
1533, 2016ncmcl, GM Industrial Design
1533, 2016ncbui, District Event Winner
1533, 2016ncbui, Innovation in Controls
1533, 2008ga, Regional Engineering Inspiration
1533, 2013cmp, FIRST Deans List Award
1918, 2013miwmi, District Finalist
1918, 2013miwmi, Delphi Excellence in Engineering
1918, 2009grl, GM Industrial Design
1918, 2006new, Highest Rookie Seed
1918, 2009mi, Regional Winner
1918, 2009mi, GM Industrial Design
1918, 2015miwmi, District Event Winner
1918, 2015miwmi, Delphi Excellence in Engineering
1918, 2012mi, Judges Award
1918, 2012mi, Regional Finalist
1918, 2010mi, GM Industrial Design
1918, 2010mi, Regional Finalist
1918, 2009gt, GM Industrial Design
1918, 2009gt, Regional Finalist
1918, 2011gt, Winner
1918, 2011gt, Coopertition Award
1918, 2011gt, GM Industrial Design
1918, 2016mista, District Event Winner
1918, 2016mista, GM Industrial Design
1918, 2009gl, State Championship Finalist
1918, 2010gl, Winner
1918, 2010gl, Coopertition Award
1918, 2006mi, Rookie All-Star
1918, 2006mi, Highest Rookie Seed Award
1918, 2012migl, Regional Winner
1918, 2012migl, GM Industrial Design
1918, 2013cur, Division Finalist
1918, 2013mitvc, District Winner
1918, 2013mitvc, GM Industrial Design
1918, 2011mi, Winner
1918, 2011mi, Coopertition Award
1918, 2011mi, Delphi Excellence in Engineering
1918, 2016miwmi, Judges Award
1918, 2009new, Division Finalist
1918, 2014milan, Winner
1918, 2014milan, GM Industrial Design
1258, 2014wamou, Regional Finalist
1258, 2014wamou, Innovation in Controls
1258, 2015waahs, Entrepreneurship
1258, 2015wamou, Judges Award
