Team,EventKey,Award
1768, 2011ma, Innovation in Controls
1257, 2015njfla, Safety
1257, 2005ny, Creativity
1257, 2005ny, Autodesk Award
1257, 2010nj, Safety
1257, 2016njfla, District Event Winner
1257, 2004nj, Team Spirit
1257, 2013njewn, Safety
1257, 2015njnbr, Safety
1257, 2015njnbr, District Finalist
1257, 2015njnbr, Team Spirit
1257, 2016njbri, Gracious Professionalism
1257, 2016njbri, District Finalist
1257, 2004md, Rookie Inspiration
1257, 2014njcli, Winner
1257, 2016mrcmp, District Championship Winner
6075, 2016miesc, Highest Rookie Seed
6075, 2016mitvc, Rookie All-Star
6075, 2016mitvc, Highest Rookie Seed
107, 2002il, Regional Winner
107, 2002il, GM Industrial Design
107, 2013miwmi, Imagery
107, 2015inkok, Innovation in Controls
107, 2010mi, Creativity
107, 2016miwmi, District Event Winner
107, 2016miwmi, Gracious Professionalism
107, 2011mi, Regional Finalist
107, 2011swm, Entrepreneurship
107, 2005mi, Regional Winner
107, 2005mi, Gracious Professionalism
107, 2005mi, Website
107, 2014miwmi, Regional Finalist
107, 2007arc, Division Finalist
107, 2002mi, Gracious Professionalism
107, 2002mi, Creativity
107, 2009mi, Quality
107, 2014misou, Winner
107, 2014misou, Team Spirit
107, 2015mihow, Gracious Professionalism
107, 2014miesc, Winner
107, 2014miesc, GM Industrial Design
107, 2007il, Gracious Professionalism
107, 1997il, Outstanding Defense
107, 1999il, Gracious Professionalism
107, 2005il, Gracious Professionalism
107, 2000il, Judges Award
107, 2013migul, Creativity
107, 2001il, Quality
107, 2016mista, Gracious Professionalism
107, 2015micmp, Woodie Flowers Finalist
107, 2012gt, Judges Award
107, 2015miwmi, District Finalist
236, 2016ctwat, GM Industrial Design
236, 2007ct, Regional Chairmans Award
236, 2003ct, Regional Winner
236, 2003ct, Innovation in Controls
236, 2003gal, Division Winner
236, 2004ct, Regional Chairmans Award
236, 2003nh, Regional Chairmans Award
236, 2003nh, Regional Winner
236, 2001new, Division Finalist
236, 2015ctwat, District Event Winner
236, 2015ctwat, Quality
236, 2008ct, Regional Chairmans Award
236, 1999cmp, Best Offensive Round
236, 2014ctgro, Quality
236, 2014ctgro, Regional Finalist
236, 2009cmp, Championship - Chairmans Award
236, 2006ct, Regional Chairmans Award
236, 2009ct, Regional Chairmans Award
236, 2015necmp, District Championship Finalist
5842, 2016flwp, Rookie All-Star
5842, 2016flor, Rookie Inspiration
5842, 2016flor, Deans List Finalist
4590, 2014ista, Imagery
4590, 2016ista, Regional Engineering Inspiration
4590, 2013ista, Highest Rookie Seed
1391, 2013paphi, District Finalist
1391, 2011pa, Regional Finalist
1391, 2005pa, Delphi Excellence in Engineering
1391, 2016pahat, Creativity
1391, 2013njbrg, GM Industrial Design
1391, 2016paphi, District Finalist
1391, 2016pawch, District Event Winner
1391, 2016pawch, Judges Award
1391, 2004md, Judges Award
1391, 2012njt, Regional Finalist
1391, 2012njt, Innovation in Controls
1391, 2004pa, Rookie All-Star
1391, 2004pa, Highest Rookie Seed Award
1391, 2015padre, Creativity
1391, 2008pa, Innovation in Controls
1391, 2006pit, Innovation in Controls
498, 2001ca1, Team Spirit
498, 2016azfl, Regional Winner
498, 2004az, Gracious Professionalism
498, 2004az, Regional Finalist
498, 2007az, Innovation in Controls
498, 2012az, Regional Finalist
498, 2014azch, GM Industrial Design
5876, 2016ausy, Rookie All-Star
5404, 2015mrcmp, Gracious Professionalism
5404, 2015mrcmp, Highest Rookie Seed
5404, 2015pahat, Rookie Inspiration
5404, 2016pawch, Creativity
5404, 2015padre, Rookie All-Star
5404, 2015padre, Highest Rookie Seed
5404, 2016paphi, Innovation in Controls
5417, 2015txlu, Judges Award
5417, 2016txda, Regional Finalist
5417, 2016txda, Deans List Finalist
5417, 2016txda, Wildcard
5417, 2015txda, Rookie Inspiration
5417, 2015txda, Deans List Finalist
5624, 2015mrcmp, Rookie Inspiration
5624, 2015njnbr, Highest Rookie Seed
5624, 2015njbri, Rookie All-Star
5624, 2015njbri, Highest Rookie Seed
5624, 2016njbri, District Event Winner
5624, 2016njfla, District Event Winner
5624, 2016njfla, Judges Award
1973, 2014rismi, Team Spirit
1973, 2012ma, Judges Award
1973, 2011ma, Judges Award
1973, 2009ma, Judges Award
3533, 2016qcmo, Regional Winner
3533, 2013qcmo, Judges Award
